1 Perlis, A. J.
1209 Garber, M. S.
1210 Harrison, M. C.
1211 Berztiss, A. T.
1212 Bellman, R.
1213 Ranelletti, J. E.
1214 Lapidus, A.
1215 Gries, D.
1216 Smith, P. J.
1217 McKay, J. K. S.
1218 McKay, J. K. S.
1219 McKay,J. K. S.
1220 Gunn, J. H.
1221 Gunn, J. H.
1222 Gautschi, W.
1223 Gear, C. W.
1224 Rosin, R. F.
1225 Kuno, S.
1226 Dzubak, B. J.
1227 Bayer, G.
1228 Abrams, P. S.
1229 Pike, M. C.
1230 Rich, R. P.
1231 McKeeman, W. M.
1234 Kanner, H.
1235 Stolz, W. S.
1236 Salton, G.
1237 Press, L. I.
1238 Budea, N.
1239 Allen, W. D.
1240 Bayer, G.
1241 Kubik, R. N.
1242 Grau, A. A.
1243 Weil, R. L.
1244 Tobey, G. D.
1245 Kent, W.
1246 Korphage, R. R.
1247 Brown, W. S.
1248 Nievergelt, J.
1251 Traub, J. F.
1252 Smith, B. W.
1253 Tonge, F. M.
1254 Galler, B. A.
1255 Philpott, C. M.
1256 King, D. R.
1257 Evans, T. G.
1258 Blum, B. I.
1259 Weldon, R. J.
1260 Marshall, S. W.
1261 Larsen, R. P.
1262 Opler, A.
1263 Burkhardt, W. H.
1264 Landwehr, J. B.
1265 Griffiths, T. V.
1268 Boothroyd, J.
1269 Teijelo, L.
1270 Forsythe, G. E.
1271 Davis, D. R.
1272 Doule, L. B.
1273 Krasun, A. M.
1274 Day, J. T.
1275 Ramamoorthy, C. V.
1277 Tajiri, K.
1278 Bellman, R. E.
1279 Brown, R. M.
1280 Bellman, R. E.
1281 Pyle, I. C.
1282 Shavell, Z. A.
1283 Ferring, M.
1284 Stafford, J.
1285 Businger, P. A.
1286 Businger, P. A.
1287 Gunn, J. H.
1288 Conway, R. W.
1291 George, R.
1292 Krishnamurthy, E. V.
1293 Greenberger, M.
1294 Ikebe, Y.
1295 Lass, S. E.
1296 Wasscher, E. J.
1297 Varah, J. M.
1298 Pike, M. C.
1299 Bowlden, H. J.
1300 Wells, M.
1301 Zaremba, W. A.
1303 Landin, P. J.
1304 Irons, E. T.
1305 Mancino, O. G.
1306 Johnston, J. B.
1307 Goodenough, J. B.
1308 Luh, J. Y. S.
1309 Montillon, G. D.
1310 Weiler, W. J.
1311 Schmid, L. P.
1312 Rice, H. G.
1313 Rosen, J. B.
1314 Batson, A.
1315 Lahners, E. L.
1316 Gautschi, W.
1317 Samet, P.A.
1318 Bowlden, H. J.
1319 Meissner, L. P.
1320 Boonstra, B. H.
1321 Wirth, N. E.
1322 Briggs, W. A.
1323 Landin, P. J.
1324 Simmons, R. F.
1325 Whipple, G. H.
1326 Loomis, R. G.
1327 Kirk, H. W.
1328 Kahan, W.
1329 Mano, M. M.
1330 Anderson, H. E.
1331 Ramamoorthy, C. V.
1332 Samet, P. A.
1333 Ross, D. R.
1334 Gerard, J. M.
1336 Radin, G.
1337 Wirth, N.
1338 Knuth, D. E.
1339 Wirth, N.
1340 Abraham, C.
1341 Bryant, P.
1342 Bayer, G.
1343 Farkas, I.
1344 Schlater, J. E.
1345 Waltons, J. J.
1346 Gargantini, L.
1347 Wilkins, R. D.
1348 Sherman, P. M.
1349 Finerman, A.
1350 Kuno,S.
1351 Dargel, R. H.
1352 Rabinowitz, P.
1353 Clasen, R. J.
1354 King, P. J. H.
1355 Gautschi, W.
1356 Hillstrom, K.
1357 Williams, R.
1358 Leavenworth, B. M.
1359 Larsen, R. P.
1363 Martin, W. C.
1364 Bellman, R.
1365 Tobey, R. G.
1366 Teichroew, D.
1368 Roberts, S. M.
1369 McCamon, R. B.
1370 Boothroyd, J.
1371 Pike, M. C.
1372 Bell, M.
1373 Pike, M. C.
1374 Bergson, A.
1375 Fletcher, R.
1376 Stern, G.
1377 Hansson, L.
1378 Hill, I. D.
1379 Abrahams, P. W.
1380 Dahl, O. J.
1381 Murray, F. J.
1382 Macon, N.
1383 Givens, W.
1384 Atchison, W. F.
1385 Audette, D. G.
1386 Jordan, D. E.
1387 Moses, J.
1388 Ball, W. E.
1389 Knowlton, K. C.
1390 Guzman, A.
1391 Maurer, W. D.
1392 Tobey, R. G.
1393 Collins, G. E.
1394 Hearn, A. C.
1395 Christensen, C.
1396 Sammet, J. E.
1398 Sterling, T.
1399 Kurki-Suonio, R.
1400 Blum, R. I.
1401 Bellman, R., Kagiwada, H.
1402 Glauz, R. D.
1403 Sigillito, V. G.
1404 Peng, K. C.
1405 Blankinship, W. A.
1406 Blankinship, W. A.
1407 Hill, I. D.
1408 Weingarten, A.
1409 Boles, J. A.
1410 Coffman, E. G.
1411 Neely, P. M.
1412 Head, R. V.
1413 Oettinger, A. G.
1415 Carmody, B. T
1416 Cleary, J. G.
1417 Solomon Jr., M. B.
1418 Peck, J. E. L.
1419 Hopgood, F. R. A.
1420 Hutchinson, D. W.
1421 Wirth, N.
1423 Rust, R.
1424 Shalla, L.
1425 Bohm, C.
1426 Smith, W. G.
1427 Pizer, S. M.
1428 Rockwell Jr., M. A.
1429 Lions, J.
1430 Mancino, O. G.
1431 Deuel, P.
1432 Cohn, C. E.
1433 Roes, P. B. M.
1434 Macon, N.
1435 Burdick, D. S.
1436 Fletcher, W.
1437 Aird, T. J.
1438 Cain Jr., G. L.
1439 Simonsen, R. H.
1440 Fike, C. T.
1441 Waters, J.
1443 Royston, R. J.
1444 Reeves, C. M.
1445 Sterling, T. D.
1446 Hopgood, F. R. A.
1447 Welsch, J. H.
1448 Welsch, J. H.
1449 Gautschi, W.
1450 Kerner, I. O.
1451 Thacher Jr., H. C.
1452 Bayer, G.
1453 Carr III, J. W.
1454 Scheff, B. H.
1455 Mooers, C. N.
1456 Simmons, R. F.
1457 Salton, G.
1458 Schwartz, J. I.
1459 Opler, A.
1460 Ferguson, D. E.
1462 Orchard-Hays, W.
1463 Leonard, G. F.
1464 Boussard, J. C.
1465 Naur, P.
1467 Roberts, L. G.
1468 Narasimhan, R.
1469 Landin, P. J.
1470 Raphael, B.
1471 Dennis,J. B.
1472 Lynch, W.C.
1473 Karim, A. I. A.
1474 Hull, T. E.
1475 Head, R. V.
1477 Wirth, N.
1478 Deily, G. R.
1479 Deily, G. R.
1480 Smith, L. B.
1481 Lloyd, P.
1482 Ledley, R. S.
1483 Wright, D. L.
1484 Parnas, D. L.
1485 Raphael, B.
1486 Burge, W. H.
1487 Weizenbaum, J.
1488 Veinott, C. G.
1489 Fisher, D. L.
1491 Wirth, N.
1492 Thacher Jr., H. C.
1493 Boothroyd, J.
1494 Larssen, G. M.
1495 Thacher Jr., H. C.
1496 Feldman, J. A.
1497 Krishnamurthy, E. V.
1498 Bayer, R.
1499 Boothroyd, J.
1500 Boothroyd, J.
1501 Charmonman, S.
1502 Deutsch, L. P.
1503 Weinert, A. E.
1504 Gotlieb, C. C.
1505 Dahm, D. M.
1506 Drew, D. L.
1507 Lockemann, P. C.
1510 Dulley, D.B.
1511 Spath, H.
1512 Brown, K. M.
1513 Robinson, C. L.
1514 Shumway, R. H.
1515 Levien, R. E.
1516 Marron, B. A.
1517 Naylor, T. H.
1518 Katz, J. H.
1519 Oestreicher, M. D.
1520 Friedland, P.
1521 Bratley, P.
1522 Hillstrom, K.
1523 Harrison, M. C.
1524 Adams, D. A.
1525 Singleton, R. C.
1526 Smith, J. L.
1527 Rosenbaum, P.
1528 Mathews, M. V.
1529 Bell, E. J.
1530 Brown, P. J.
1531 Knuth, D. E.
1532 Oettinger, A. G.
1533 Foley, J. D.
1534 Austin, B. J.
1535 Luccio, F.
1536 Lesk, A. M.
1537 Chartres, B. A.
1538 Chartres, B. A.
1539 Chartres, B. A.
1540 Busam, V. A.
1541 Parente, R. J.
1542 Weber, H.
1543 Howard, J. C.
1544 Conway, R. W.
1545 Westin, A. F.
1546 Bemer, R. W.
1547 Filho, A. M.S.
1548 Chapin, N.
1549 Schorr, H.
1550 Smith, L. B.
1551 Nakata, I.
1552 Ross, D. T.
1553 Weizenbaum, J.
1554 Noll, A. M.
1555 Bratley, P.
1556 Bratley, P.
1557 McKay, J. K. S.
1558 Ord-Smith, R. J.
1559 Ord-Smith, R. J.
1560 Sims, L. S.
1561 Spath, H.
1562 Pitteway, M. L. V.
1563 Pohl, I.
1564 Callahan, M. D.
1565 Waite, W. M.
1566 Moursund, D. G.
1567 McKay, J. K. S.
1568 Stineman, R. W.
1569 Irwin, L.
1570 Madnick, S. E.
1571 Betyar, L.
1572 Nielsen, N. R.
1573 Gallaher, L. J.
1574 Hill, I. D.
1575 Pike, M. C.
1576 Welsch, J. H.
1577 Welsch, J. H.
1578 Makinson, G. J.
1579 Hill, I. D.
1580 Hill, I. D.
1581 Hill, I. D.
1582 Hill, I. D.
1583 Hill, I. D.
1584 Hill, I. D.
1585 Hill, I. D.
1586 Golub, G. H.
1587 Abramowich, J.
1588 Lawson Jr., H. W.
1589 Cameron, S. H.
1590 Reddy, D. R.
1591 Engvold, K. J.
1592 Alberga, C. N.
1593 Nandi, S. K.
1594 Langdon Jr., G. G.
1595 Evans, J. W.
1596 Bond, G.
1597 Boothroyd, J.
1598 Makinson, G. J.
1599 Kohfeld, J. J.
1600 Hillstrom, K.
1601 Shedler, G. S.
1602 Schlesinger, S.
1603 Hornbuckle, G. D.
1604 Walter, E. S.
1605 Schatzoff, M.
1606 Hill, I. D.
1607 Gunn, J. H.
1608 Eisner, E.
1609 Hall Jr., A. D.
1610 Dwyer, P. S.
1611 Klein, M. M.
1612 Brooker, R. A.
1613 Stone, H. S.
1614 Galler, B. A.
1615 Krall, A. M.
1616 Walton, J. J.
1617 Boothroyd, J.
1618 Spath, H.
1619 Rodden, B. E.
1620 File, C. T.
1621 Sydow, L. V.
1622 Waite, W. M.
1623 Neidleman, L. D.
1624 Klerer, M.
1625 Clark, E. R.
1626 Bobrow, D. G.
1627 Morenoff, E.
1628 Orden, A.
1629 Shannon, S.
1630 Pfaltz, J. L. Rosenfeld, A.
1631 Gorenstein, S.
1632 Carmer, S. G.
1633 Ehrlich, L. W.
1634 Goldberg, I. B.
1635 Byrne, G. D.
1636 Belman, R. E.
1637 Fishman, G. S.
1638 Gasner, B. J.
1639 Spath, H.
1640 Makinson, G. J.
1641 Cohen, J.
1642 Fisher, R. O.
1643 Bingham, J. A. C.
1644 Goldberg, M.
1645 Cody, W. J.
1646 Moulton, P. G.
1647 Shantz, P. W.
1648 Strome, W. M.
1649 Hassitt, A.
1650 Cooper, B. E.
1651 Aigner, D. J.
1652 Morenoff, E.
1653 Calingaert, P.
1654 Forsythe, G. E.
1657 Harrison, M. C.
1658 Gue, R. L.
1659 Kuno, S.
1661 Kolbig, K. S.
1662 Grad, J.
1663 Snow, R. H.
1664 Howard, J. C.
1665 Johnson, W. L.
1666 Byrne, J. L.
1667 Noltemeier, A.
1668 Singleton, R. C.
1669 Singleton, R. C.
1671 Borrow, D. G.
1672 Rabinowitz, P.
1673 Greenspan, D.
1674 Marsaglia, G.
1675 Korfhage, R. R.
1676 Mendicino, S. F.
1677 Jodeit, J. G.
1678 McNaughton, R.
1679 Bergland, G. D.
1680 Engvold, K. J.
1681 Rubinoff, M.
1682 Braden, H. V.
1683 Martin, D. F.
1684 King, P. J. H.
1685 Schurmann, A.
1686 Lesem, L. B.
1687 Bray, T. A.
1688 Henderson, J. H.
1689 Pankiewicz, W.
1690 Bray, T. A.
1691 Whittlesey, J. R.
1692 Stewart III, G.W.
1693 Garwick, J. V.
1694 Miller, G. D.
1695 Dill, J. C.
1696 Fox, B. L.
1697 Hayashl, H.
1698 Denning, P. J.
1699 Rubinoff, M.
1700 Hutton, F. C.
1702 Steel Jr., T. B.
1703 Mooers, C. N.
1704 Muth, J. F.
1705 De Vogelaere, R.
1706 Storm, E. F.
1707 Hall, C. A.
1708 Borrow, D. G.
1709 Breaux, H. J.
1710 Lang, C. A.
1711 Banzhaf III, J. F.
1712 Lockemann, P. C.
1713 Stevens, D. F.
1714 MacLaren, M. D.
1715 De Vogelaere, R.
1716 Bell, J. R.
1717 Dietmeyer, D. L.
1718 Ehrman, J. R.
1719 Stimler, S.
1720 Elliott, R. W.
1721 Kuiken, H. K.
1722 McWilliams, G. V.
1723 Fisher, A. C.
1724 Bayes, A.
1725 Wolinsky, A.
1726 Nagy, G.
1727 Kral, J.
1728 Coffman, E. G.
1729 Salazar, R. C.
1730 Witte, B. F. W.
1731 Gautschi, W.
1732 Oliver,I.
1733 Fenichel, R. R.
1734 Bartels, R. H.
1735 Sutherland, I. E.
1737 Unger, S. H.
1738 Brady, P. T.
1739 Thompson, K.
1740 Anderson, G. B.
1741 Ophir, D.
1742 Myer, T. H.
1743 Lynch, W. C.
1744 Bartels, R. H.
1745 Dennis, J. B.
1746 Graham, R.M.
1747 Van Horn, E. C.
1748 Lampson, B. W.
1749 Dijkstra, E. W.
1750 Fuchel, K.
1751 Denning, P. J.
1752 Oppenheimer, G.
1753 Daley, R. C.
1754 Randell, B.
1755 ACM Special Interest Committee
1758 McKay, S.
1759 Bayer, G.
1760 Bergson, A.
1761 O'Brien, W. M.
1762 Kolbig, K. S.
1763 Nonweiler, T. F.
1764 Organick, E. I.
1765 Hamblen, J. W.
1766 Bellman, R. E.
1767 Kulsrud, H. E.
1768 Unger, S. H.
1769 Harder, E. L.
1770 Parker, D. B.
1774 Pankhurst, R. J.
1775 Zielke, G.
1776 Bayer, G.
1777 Ord-Smith, R. J.
1778 Dorrer, E.
1779 Morris, J.
1780 Hunter, D. B.
1781 Feldman, J.
1782 Meisel, W. S.
1783 Matula, D. W.
1784 Rabinowitz, P.
1785 Morris, R.
1786 Maurer, W. D.
1787 Gries, D.
1788 Halpern, M. J.
1789 Hoare, M. R.
1790 Whitley, V. W.
1791 Green, D. R.
1792 Sackman, H.
1794 Seraphin, D. S.
1795 Fateman, R. J.
1797 Proll, L. G.
1798 Kolbig, K. S.
1799 Bray, T. A.
1800 Parsons, R. G.
1801 Claringbold, P. J.
1802 Claringbold, P. J.
1803 Bach, H.
1804 Herriot, R. G.
1805 Lasser, D. J.
1806 Bach, H.
1807 Busam, V. A.
1808 Van Tassel, D.
1809 Parter, S. V.
1810 Sayre, D.
1811 Rosenfeld, J. L.
1812 Grosenbaugh, L. R.
1813 Ord-Smith, R. J.
1814 Smith, L. B.
1815 Tomlin, F. K.
1816 Watson, W. T.
1817 Hall, G.
1818 Cobb, S. M.
1819 Gautschi, W.
1820 Robson, J. M.
1821 Shriver, B.
1822 Dial, R. B.
1823 Howell, J. R.
1824 Balzer, R. M.
1825 Korenjak, A. J.
1826 Fenichel, R. R.
1827 Pinkerton, T. B.
1828 Shoshani, A.
1829 Bond, A. H.
1830 Bayes, A. J.
1831 Stanfel, L. E.
1832 Dunham, C. B.
1833 Herriot, J. G.
1834 Hoare, C. A. R.
1835 Dewar, R. B. K.
1836 Bell, J. R.
1837 Singleton, R. C.
1838 Adams, A. G.
1839 Businger, P. A.
1840 Singleton, R. C.
1841 Singleton, R. C.
1842 Simoes, J. M. S.
1843 Brown, W. S.
1844 Baskin, H. B.
1845 Lanzano, B. C.
1846 Parnas, D. L.
1847 Paton, K.
1848 Silverman, G.
1849 Hamilton, P. A.
1850 Leitch, I. M.
1851 McIlroy, M. D.
1852 Orgass, R. J.
1853 Hansen, W. J.
1854 Wirth, N.
1855 Dewar, H.
1856 Quillian, M. R.
1857 Chase, S. M.
1858 Chase, S. M.
1859 Hall, C. A.
1860 Feldman, J. A.
1861 Arden, B. W.
1862 Finerman, A.
1863 Messham, D. K.
1864 Boothroyd, J.
1865 Sauer, G.
1866 Clemm, D. S.
1867 Hooker, W. W.
1868 Kennedy, M.
1869 Kain, R. Y.
1870 Donnelly, T.
1871 Cottafava, G.
1872 Salzer, H. E.
1873 Fox, B. L.
1874 Hemmerle, W. J.
1875 Amos, D. E.
1876 Schneider, A. J.
1877 Habermann, A. N.
1878 Weizenbaum, J.
1879 Randell, B.
1880 Golub, G. H.
1881 MacLeod, I. D. G.
1882 Duke, B. J.
1883 Fair weather, G.
1884 Belady, L. A.
1885 Friedman, J.
1886 Breuer, M. A.
1887 Sweet, R. A.
1888 Blue, J. L.
1889 Parker Jr., L. T.
1890 Sakai, T.
1891 Ophir, D.
1892 Wallace, V. L.
1893 Noltemeier, A.
1894 Knop, R.
1895 Hill, I. D.
1896 Gautschi, W.
1897 Kolbig, K. S.
1898 Kolbig, K. S.
1899 Bartels, R. H.
1901 Belady, L. A.
1902 Hext, J. B.
1903 Salzer, H. E.
1904 Rabinowitz, P.
1905 Bartels, R. H.
1906 Lass, S.E.
1907 Bartlett, K. A.
1908 Gold, M. M.
1909 Stroud, A. H.
1910 Rose, D. J.
1911 Petrick, S. R.
1912 Katz, J. H.
1913 Schwachheim, G.
1914 Klimpel, R. R.
1915 Galimberti, R.
1916 Lowe, T. C.
1917 Singleton, R. C.
1918 Gray, M.
1919 Singleton, R. C.
1920 Morris, J.
1921 Singleton, R. C.
1923 Rosin, R. F.
1924 McKellar, A. C.
1925 Morse, S. P.
1926 Berns, G. M.
1927 Salton, G.
1928 Ulrich, E. G.
1929 Schroeder, M. R.
1930 Kruskal, J. B.
1931 Smith, L. B.
1932 King, R. F.
1933 Payne, W. H.
1934 Redziejowski, R. R.
1935 Arora, S. R.
1936 Patt, Y. N.
1937 Day, R. H.
1938 Stimler, S.
1939 Friedman, J.
1940 Smith, O. K.
1941 Field, J. B. F.
1942 Vandergraft, J.
1943 Farkas, I.
1944 Levine, D. A.
1945 Arden, B. W.
1946 Ku, S. Y.
1947 Lowry, E. S.
1948 Cannon, J. J.
1949 Wagner, R. A.
1950 Raduchel, W. J.
1951 Fuchs, E.
1953 Redish, K. A.
1954 Stewart, G. W.	
1955 Sale, A. H. J.
1956 Black, N. A.
1957 Shapiro, S. C.
1958 Thompson, R. J.
1959 Morgan, H. L.
1960 Betourne, C.
1961 Tiernan, J. C.
1962 Mathews, M. V.
1963 Rokne, J.
1964 Bernstein, A.
1965 Ehrman, J. R.
1966 Wilson, W. J.
1967 Bratley, P.
1968 Knight, W.
1969 Van Emden, M. H.
1972 Cheney, C. J.
1973 Bell, J. R.
1974 Conrow, K.
1975 Mifsud, C. J.
1976 Lum, V. Y.
1977 LaFata, P.
1978 Smith, L. B.
1979 Stehfest, H.
1980 Peto, R.
1981 Holmgren, B.
1982 Wallick, G. C.
1983 Seppanen, J. J.
1984 Stone, R. A.
1985 Chang, S. K.
1986 Hill, G. W.
1987 Hill, G. W.
1988 Earley, J.
1989 Woods, W. A.
1990 Dunham, C. B.
1991 Bavel, Z.
1992 Lamport, L.
1993  Cody, W. J.
1994 Dial, R. B.
1995 Abdali, S. K.
1996 Smith, R. R.
1997 van Emden, M. H.
1998 Ehrlich, L. W.
1999 Wilson, M. W.
2000 Kimble, G. W.
2001 Moler, C. B.
2002 Hirschsoln, I.
2003 Bracchi, G.
2004 Bouknight, W. J.
2006 Kerpelman, C.
2008 Wise Jr., W. R.
2009 Proll, L. G.
2010 McKay, J.
2011 Hubner, H.
2012 Hubner, H.
2013 Hubner, H.
2014 Fielding, K.
2015 Ichbiah, J. D.
2016 Gintell, J. W.
2017 Brawn, B. S.
2018 Day, A. C.
2019 Nagy, G.
2020 Nielsen, N. R.
2021 Hunt, B.R.
2022 Pomeranz,J. E.
2023 Baecker, H. D.
2024 Sattley, K.
2025 Sale, A. H. J.
2026 Ng, E. W.
2027 Bray, T.
2028 Bradley, G. H.
2029 Paciorek, K. A.
2030 Woods, W. A.
2031 Bradley, G. H.
2032 Coffman Jr., E. G.
2033 Bloom, B. H.
2034 Waite, W. M.
2035 Wilkes, M. A.
2036 Grant, C. A.
2037 Chase, P. J.
2038 Chase, P. J.
2039 Shriver, B.
2040 Wallick, G. C.
2041 Chandler, J. P.
2042 London, R. L.
2043 Stewart, G. W.
2044 Chase, P. J.
2045 Chase, P. J.
2046 Codd, E. F.
2047 Stewart, G. W.
2048 Hillstrom, K. E.
2049 Linz, P.
2050 Damerau, F. J.
2051 Frantz, D. G.
2052 Grimes, J. E.
2053 Muthukrishnan, C. R.
2054 Elder, H. A.
2055 Lachenmaier, R.
2056 Proll, L. G.
2057 Knop, R. E.
2058 Laflin, S.
2059 Crespi-Reghizzi, S.
2060 Reynolds, J. C.
2061 Loeckx, J.
2062 Sasser, W. E.
2063 Vere, S.
2064 Sitton, G. A.
2065 Hodes, L.
2066 Knight, K. R.
2067 DeVries, R. C.
2068 Smith, J. L.
2069 Heess Jr., W. F.
2070 Hsiao, D.
2071 Fosdick, L. D.
2072 Cook, N. D.
2073 Guignard, M. M.
2074 Lyness, J. N.
2075 Pankiewicz, W.
2076 Nilson, E. N.
2077 Pomeranz, J. E.
2078 Eastman, C. M.
2079 Wirth, N.
2080 Hansen, P. B.
2081 Bayer, R.
2082 Mills, H. D.
2083 DeSalvio, A. J.
2084 Maurer, H. A.
2085 Dempster, J. R. H.
2086 Kailas, M. V.
2087 Pager, D.
2088 Bray, T. A.
2089 Rapp, D. G.
2090 Levine, M. J.
2091 Cardenas, A. F.
2092 Schwarcz, R. M.
2093 Schweikert, D. G.
2094 Watson, G. A.
2095 Batson, A.
2096 Slagle, J. R.
2097 Fenichel, R. R.
2098 Hill, G. W.
2099 Knoble, H. D.
2100 Barrodale, I.
2101 Spath, H.
2102 Spath, H.
2103 White, J. S.
2104 White, J. S.
2105 Robins, M. F.
2106 Ness, D. N.
2107 Bell, J. R.
2108 Jones, B.
2109 Radke, C. E.
2110 Earley, J.
2111 Morgan, H. L.
2112 Vere, S.
2113 von Glasersfeld, E.
2114 Hsiao, D.
2115 Payne, W. H.
2118 Griffin, R.
2119 Gautschi, W.
2120 Dunham, K. B.
2121 McKay, J. K. S.
2122 Butler, E. L.
2123 Schaffer, H. E.
2124 Stehfest, H.
2125 Montanari, U.
2126 Irons, E. T.
2127 Simmons, R. F.
2128 Mullery, A. P.
2129 Gautschi, W.
2130 Lowe, T. C.
2131 Gustafson, S.
2132 Gustafson, S.
2133 Bourgeois, F.
2134 Bourgeois, F.
2135 Gustafson, S.
2136 Blumberg, J. W.
2137 Rochfeld, A.
2138 Wulf, W. A.
2139 Harrison, M. C.
2140 Mullin, J. K.
2141 Amidon, E. L.
2142 Gordon,R.
2143 Bolub, G. H.
2144 Malcolm, M. A.
2145 Aramaki, I.
2146 Shell, D. L.
2147 Hamblen, J. W.
2148 Branquart, P.
2149 Lyness, J. N.
2150 Courois, P. J.
2151 Nemeth, A. G.
2152 Newman, W. M.
2153 Oldehoeft, A. E.
2154 ANSI Subcommittee X3J3
2155 Earley, J.
2156 Fenichel, R. R.
2157 Flores, I.
2158 Liniger, W.
2159 Phillips, D. L.
2160 Wong, E.
2161 Paton, K.
2162 Isoda, S.
2163 Teichroew, D.
2164 Moses, J.
2165 Barton, D.
2166 Jefferys, W. H.
2167 Moses, J.
2168 Fenichel, R. R.
2169 Hall Jr., A. D.
2170 Hearn, A. C.
2171 Raduchel, W. J.
2172 Cermak, J.
2173 McVitie, D. G.
2174 McVitie, D. G.
2175 Ramamoorthy, C. V.
2176 Ferguson, D. E.
2177 Paton, K.
2178 Pratt, T. W.
2179 DeRemer, F. L.
2180 Bernstein, A. J.
2181 McKenney, J. L.
2182 Zelkowitz, M.
2183 Walker, R. J.
2184 Fraser, A. G.
2185 Glaswin, H. T.
2186 Bosarge Jr., W. E.
2187 Amarel, S.
2188 Foley, J. D.
2189 Harada, K.
2190 House, F. R.
2191 Chambers, J. M.
2192 Morris Jr., J. H.
2193 Fenichel, R. R.
2194 Richards, D. L.
2195 Montanari, U.
2196 Krolak, P.
2197 Nielsen, N. R.
2198 Codasyl Systems Committee
2199 McNamee, J. M.
2200 Stein, M. L.
2201 Talbot, P. A.
2202 Tucker, A. B.
2203 Lum, V. Y.
2204 Wirth, N.
2205 Gear, C. W.
2206 Howell, J.
2207 Gear, C. W.
2208 Williams, J. G.
2209 Winters, W. K.
2210 Manna, Z.
2211 Noll, A. M.
2212 Tolman, H.
2213 Dell, A. M.
2214 Rokne, J.
2215 Slagle, J. R.
2216 Hurwitz Jr., H.
2217 Slagle, J. R.
2218 Nielsen, N. R.
2219 Bernstein, A. J.
2220 Shwayder, K.
2221 Pollack, S. L.
2222 Redish, K. A.
2223 Kolm, A.
2224 Lucas Jr., C. W.
2225 Coleman, M. W.
2226 Proll, L. G.
2227 Hoare, C. A. R.
2228 Holt, R. C.
2229 Brucke, R. A.
2230 Bracchi, G.
2231 Chang, S.
2232 Klinger, A.
2233 Hammer, C.
2234 Heiberger, R. M.
2235 Marshall, D. R. T.
2236 Frisch, M. J.
2237 Schuegraf, E.
2238 Schuegraf, E.
2239 Hallet, P.
2240 Sullins, W. L.
2241 Boland, W. R.
2242 Boland, W. R.
2243 Boland, W. R.
2244 Boland, W. R.
2245 Sherman, S.
2246 Brown, P. J.
2247 Parnas, D. L.
2248 Moore, J.
2249 Barr, D. R.
2250 Ahrens, J. H.
2251 Luccio, F.
2252 Earley, J.
2253 Bayer, R.
2254 Phillips, J. R.
2255 Smoliar, S. W.
2256 Eisenberg, M. A.
2257 Kennedy, S.
2258 Lum, V. Y.
2259 Fullerton, W.
2260 March, D. L.
2261 Ramberg, J. S.
2262 Baecker, H. D.
2263 Verhelst, M.
2264 Henderson, P.
2265 Ledgard, H. F.
2266 Patrick, M. L.
2267 Malcolm, M. A.
2268 Fox, P.
2269 Robertson, J. D.
2270 Akima, H.
2271 Ershov,A. P.
2272 Frazer, W. D.
2273 Dathe, G.
2274 Simmons, R.
2275 Hanson, R. J.
2276 Ahrens, J. H.
2277 Morris, J. B.
2278 Tan, K. C.
2279 Rubinstein, R.
2280 Parnas, D. L.
2281 Khalil, H. M.
2282 Gregory, J.
2283 Deutsch, E. S.
2284 Bartels, R. H.
2285 Ravindran, A. 
2286 Richman, P. L.
2287 Mor, M.
2288 Ghosh, S. P.
2289 Levitt, K. N.
2290 Purdom Jr., P. W.
2291 Squire, W.
2292 Read, R. C.
2293 Jones, P. R.
2294 Morris Jr., J. H.
2295 van der Poel, W. L.
2296 Bernstein, H. J.
2297 Oden, P. H.
2298 Rosin, R. F.
2299 Benjamin, A. J.
2300 Helbig, R. E.
2301 Crowe, D.
2302 Borodin, A.
2303 Alt, F. L.
2304 Sprague, R. E.
2305 Bauer, F. L.
2306 Knuth, D. E.
2307 Salton, G.
2308 Sturman, G. M.
2309 Zinn, K. L.
2310 Sedelow, S. Y.
2311 Benjamin, R. I.
2312 Rice, J. R.
2313 Bachman, C. W.
2314 Bobrow, D. G.
2315 Fosdick, L. D.
2316 Sammet, J. E.
2317 Rosen, S.
2318 Kimbleton, S. R.
2319 Lynch, W. C.
2320 Hansen, P. B.
2321 Fraser, A. G.
2322 Foster, C. C.
2323 Moses, J.
2324 Shanno, D. F.
2325 Traub, J. F.
2326 Manna, Z.
2327 Arbib, M. A.
2328 Koffman, E. B.
2329 Kandel, A.
2330 Einarsson, B.
2331 Johnson, S. C.
2332 Sale, A. H. J.
2333 Schrack, G. F.
2334 Proll, L. G.
2335 Niessner, H.
2336 Kolbig, K. S.
2337 Pohl, I.
2338 Iguchi, K.
2339 O'Reagan, R. T.
2340 Martin, D. F.
2341 Gimpel, J. F.
2342 Gilbert, P.
2343 Spacek, T. R.
2344 Blatny, J.
2345 Ashenhurst, R. L.
2346 Yohe, J. M.
2347 Linz, P.
2348 Bron, C.
2349 Hurst, R. L.
2350 Gentleman, W.M.
2351 Harter, R.
2352 Dunham, C. B.
2353 Greenspan, D.
2354 Gentleman, W. M.
2355 Gentleman, W. M.
2356 Parnas, D. L.
2357 Christman, R. D.
2358 Bensoussan, A.
2359 Mullin, J. K.
2360 Hu, T. C.
2361 Walden, D. C.
2362 Moler, C. B.
2363 Whitney, V. K. M.
2364 Kuki, H.
2365 Moler, C. B.
2366 Kuki, H.
